Created - 13:22:43.852074: Large marble: Big Joe, marbles: Almond, Blue, Almond, Orange Peel, Green, Green, Orange Peel, 
Created - 13:23:17.179944: Large marble: Spinner, marbles: Slate Blue, Platinum, Cobalt Blue, Slate Blue, Stop Red, Purple, Blue-Green, 
Created - 13:23:17.559464: Large marble: Big Joe, marbles: Mango Tango, Icterine, Fiery Rose, Dark Fuchsia, Middle Red Purple, Gold, Thulian Pink, 
Created - 13:23:17.944260: Large marble: Winner, marbles: Russian Green, Light Orange, Ivory, Indigo, Ruby, Isabelline, Antique Brass, 
Created - 13:23:18.318130: Large marble: Apollo, marbles: Pale Taupe, Purple, Tuscan Brown, White Smoke, Brink Pink, Neon Dark Green, Golden Yellow, 
Created - 13:23:18.698657: Large marble: Lucky, marbles: Purple Plum, Rose Dust, Emerald, Russian Green, Zomp, Sheen Green, Neon Pink, 
Created - 13:23:19.081478: Large marble: Big Joe, marbles: Pale Taupe, Shandy, Big Dip O’ruby, Chinese Red, Spanish Pink, Orange Soda, Candy Pink, 
Created - 13:23:19.455729: Large marble: Sure Shot, marbles: Pastel Blue, Golden Yellow, Maximum Blue, Cotton Candy, Eerie Black, Cotton Candy, Dark Fuchsia, 
Created - 13:23:19.828915: Large marble: Big Joe, marbles: Gold, Golden Yellow, Purple Plum, Lumber, Light Orchid, Sage, Green, 
Created - 13:23:20.196861: Large marble: Winner, marbles: Stop Red, Mode Beige, Royal Red, Safety Yellow, Beaver, Lumber, Thulian Pink, 
Created - 13:23:20.565157: Large marble: Sure Shot, marbles: Gold, Blue-Green, Mint Green, Middle Green Yellow, Ruby, Black Coral, Auburn, 
Created - 13:23:20.923699: Large marble: Winner, marbles: Middle Green, Middle Red Purple, Brown, Light Orchid, Indigo, Granny Smith Apple, Light Orchid, 
Created - 13:23:21.292863: Large marble: Spinner, marbles: Slate Blue, Rose Dust, Lavender Purple, Lilac Luster, Spanish Orange, Orange Soda, Eerie Black, 
Created - 13:23:21.660753: Large marble: Spinner, marbles: Blue, Terra Cotta, Rose Quartz, Ivory, Granny Smith Apple, Tuscan Brown, Auburn, 
Created - 13:23:22.031299: Large marble: Lucky, marbles: Russian Violet, Russian Green, Pale Taupe, Dark Moss Green, Orange Soda, Bistre Brown, Pale Plum, 
Created - 13:23:22.396919: Large marble: Hercules, marbles: Russian Violet, Dark Moss Green, Venetian Red, Mint Green, Mint Cream, Spanish Orange, Dark Moss Green, 
Created - 13:23:22.761148: Large marble: Sure Shot, marbles: Pale Plum, Neon Silver, Ruby, Auburn, Big Dip O’ruby, Lemon Lime, Orange Peel, 
Created - 13:23:23.129397: Large marble: Winner, marbles: Pale Goldenrod, Spanish Pink, Pastel Gray, Gold, Mango Tango, Pale Cerulean, Rose Dust, 
Created - 13:23:23.491764: Large marble: Winner, marbles: Beaver, Mint Green, Duke Blue, Safety Yellow, Royal Red, Mint Cream, Arylide Yellow, 
Created - 13:23:23.861481: Large marble: Hercules, marbles: Granny Smith Apple, Sage, Emerald, Dark Moss Green, Thulian Pink, Lumber, Mode Beige, 
Created - 13:23:24.239734: Large marble: Lucky, marbles: Blue Bell, Neon Dark Green, Pale Cerulean, Thulian Pink, Maximum Blue, Orange Soda, Light Orchid, 
Created - 13:23:24.616000: Large marble: Winner, marbles: Rose Quartz, Auburn, Arylide Yellow, Mint Green, Light Orchid, Outrageous Orange, Pale Taupe, 
Created - 13:23:24.988217: Large marble: Lucky, marbles: Pale Plum, Candy Pink, Royal Blue, Pale Cerulean, Neon Dark Green, Orange Peel, Neon Silver, 
Created - 13:23:25.366527: Large marble: Sure Shot, marbles: Silver Pink, Maximum Purple, Neon Pink, Middle Red Purple, Stop Red, Platinum, Isabelline, 
Created - 13:23:25.736062: Large marble: 5-Star, marbles: Spanish Pink, Emerald, Golden Yellow, Purple, Sage, Cotton Candy, Bistre Brown, 
Created - 13:23:26.121535: Large marble: Zeus, marbles: Big Dip O’ruby, Black Coral, Honeydew, Brown, Zomp, Chinese Red, Arylide Yellow, 
Created - 13:23:26.496922: Large marble: Lucky, marbles: Spanish Pink, Venetian Red, Emerald, Neon Silver, Light Orange, Ivory, Orange Soda, 
Created - 13:23:26.865952: Large marble: Zeus, marbles: Silver Chalice, Beaver, Icterine, Purple, Spanish Pink, Middle Green, Lumber, 
Created - 13:23:27.241014: Large marble: Spinner, marbles: Brink Pink, Silver Chalice, Lilac Luster, Brown, Maximum Violet, Fiery Rose, Middle Green, 
Created - 13:23:27.622883: Large marble: Zeus, marbles: Russian Violet, Brown, Lemon Lime, Mint Cream, Tuscan Brown, Cotton Candy, Maximum Violet, 
Created - 13:23:28.009566: Large marble: Hercules, marbles: Shandy, Lavender Purple, Beaver, Duke Blue, Spanish Pink, Russian Violet, Pale Plum, 
Created - 13:23:28.392130: Large marble: 5-Star, marbles: Russian Violet, Royal Orange, Middle Red Purple, White Smoke, Stop Red, Neon Pink, Indigo, 
Created - 13:23:28.778440: Large marble: Sure Shot, marbles: Brown, Russian Violet, Big Dip O’ruby, Mint Green, Auburn, Venetian Red, Lavender Purple, 
Created - 13:23:29.153893: Large marble: Winner, marbles: Dark Moss Green, Russian Green, Auburn, Gold, Silver Chalice, Granny Smith Apple, Beaver, 
Created - 13:23:29.525541: Large marble: 5-Star, marbles: Eerie Black, Gold, Sage, Rose Quartz, Golden Yellow, Golden Yellow, Slate Blue, 
Created - 13:23:29.906617: Large marble: Apollo, marbles: Royal Red, Spanish Orange, Light Orange, Pale Taupe, Bistre Brown, Blue-Green, Ruby, 
Created - 13:23:30.283299: Large marble: Winner, marbles: Sheen Green, Auburn, Maximum Violet, Zomp, Black Coral, Emerald, Rose Dust, 
Created - 13:23:30.660372: Large marble: Winner, marbles: Golden Yellow, Lumber, Almond, Rose Dust, Antique Bronze, Neon Dark Green, Neon Dark Green, 
Created - 13:23:31.041209: Large marble: Apollo, marbles: Pale Goldenrod, Pastel Gray, Neon Silver, Silver Pink, Pastel Gray, Pale Cerulean, Purple Plum, 
Created - 13:23:31.415499: Large marble: Zeus, marbles: Middle Green Yellow, Purple Plum, Pale Taupe, Blue, Russian Green, Silver Chalice, Pastel Blue, 
Created - 13:23:31.793905: Large marble: Sure Shot, marbles: Pale Cerulean, Spanish Pink, Brown, Antique Bronze, Antique Bronze, Zomp, Purple Plum, 
Created - 13:23:32.168108: Large marble: Apollo, marbles: Beaver, Purple, Purple, Maximum Blue, Royal Blue, Bistre Brown, Almond, 
Created - 13:23:32.551832: Large marble: Lucky, marbles: Neon Silver, Pale Goldenrod, Neon Pink, Brown, Candy Pink, Indigo, Russian Violet, 
Created - 13:23:32.924751: Large marble: Winner, marbles: Spanish Carmine, Middle Red Purple, Golden Yellow, Isabelline, Pale Cerulean, Dark Moss Green, White Smoke, 
Created - 13:23:33.286718: Large marble: Lucky, marbles: Light Orchid, Shandy, Blue, Liver Chestnut, Venetian Red, Green, Black Coral, 
Created - 13:23:33.663447: Large marble: Apollo, marbles: Orange Soda, Sheen Green, Maximum Violet, Golden Yellow, Light Orchid, Icterine, Rose Dust, 
Created - 13:23:34.034568: Large marble: Winner, marbles: Ruby, Spanish Carmine, Green, Safety Yellow, Rose Dust, Pale Taupe, Neon Dark Green, 
Created - 13:23:34.407325: Large marble: Lucky, marbles: Cobalt Blue, Blue-Green, Royal Orange, Neon Pink, Black Coral, Pale Goldenrod, Lemon Lime, 
Created - 13:23:34.788590: Large marble: Lucky, marbles: Auburn, Mode Beige, Outrageous Orange, La Salle Green, Vegas Gold, Granny Smith Apple, Zomp, 
Created - 13:23:35.164795: Large marble: Lucky, marbles: Pale Taupe, Pale Taupe, Maximum Blue, Neon Pink, Light Orange, Russian Violet, Purple Plum, 
Created - 13:23:35.534652: Large marble: Spinner, marbles: Lumber, Blue, Zomp, Royal Red, La Salle Green, Thulian Pink, Golden Yellow, 
Created - 13:23:35.908640: Large marble: Big Joe, marbles: Mint Cream, Blue, Light Orchid, Duke Blue, Fiery Rose, Royal Blue, Pale Cerulean, 
Created - 13:23:36.279430: Large marble: Sure Shot, marbles: Middle Green Yellow, Arylide Yellow, Pastel Gray, Duke Blue, Shandy, Blue Bell, Almond, 
